n;PU;action
1;13175340;0
2;15577345;0
3;15577432;0
4;15577762;0
5;15610293;0
6;15610298;0
7;15620927;0
8;15621130;0
9;18423534;0
10;19095102;0
11;19095116;0
12;19095117;0
13;19095119;0
14;19095122;0
15;19095126;0
16;19095129;0
17;19095140;0
18;19095141;0
19;19095143;0
20;19095145;0
21;19095150;0
22;19095157;0
23;19095366;0
24;19295104;0
25;21163114;0
26;21259770;0
27;21259772;0
28;21755978;0
29;24487123;0
30;24487125;0
31;24947752;0
32;29124326;0
33;31408497;1
34;31417156;0
35;37400724;0
36;37400728;0
37;37400741;0
38;37400743;0
39;37825596;0
40;123246108;0
41;123246181;0
42;318082747;0
43;318087350;0
44;1112138415;0
45;34765100;0
46;34765099;0
47;24492028;0
48;24487237;0
