№;Город;Адрес;Отчетный месяц;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная прием;Реактивная отдача;Каталог;Показания;Почта
1;г. Нижний Новгород;г. Нижний Новгород, ул. Академика Сахарова, д.2;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
2;г. Волгоград;г. Волгоград, пр-т им. Героев Сталинграда, д.50;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
3;г. Волгоград;г. Волгоград, ул. 64 Армии, д.44;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
4;г. Волжский;г. Волжский, ул. Мира, д.71;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
5;г. Воронеж;г. Воронеж, ул. 9 Января, д.28;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
6;г. Воронеж;г. Воронеж, ул. 9 Января, д.302а;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
7;г. Воронеж;г. Воронеж, ул. Минская, д.2б;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
8;г. Воронеж;г. Воронеж, ул. 9 Января, д.68;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
9;г. Иваново;г. Иваново, пр-т Текстильщиков, д.10/16;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
10;г. Йошкар-Ола;г. Йошкар-Ола, ул. Карла Маркса, д.109б;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
11;г. Мурманск;г. Мурманск, пр-т Ленина, д.37;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
12;г. Волгоград;г. Волгоград, ул. Коммунистическая, д.40;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1;
13;г. Омск;г. Омск, ул. Звездова, д.101а;01.03.2019;7;UTC+5;1;1;0;0;Рассылка;1;
14;г. Пермь;г. Пермь, ул. Куйбышева, д.66/1;01.03.2019;7;UTC+5;1;1;0;0;Рассылка;1;
15;г. Пермь;г. Пермь, ул. Сибирская, д.48/1;01.03.2019;7;UTC+5;1;1;0;0;Рассылка;1;
16;г. Пермь;г. Пермь, ш. Космонавтов, д.349;01.03.2019;7;UTC+5;1;1;0;0;Рассылка;1
17;г. Самара;г. Самара, пр-т Ленина, д.17;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1
18;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Ветеранов, д.114;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1
19;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Шафировский, д.2аб;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1
20;г. Тула;г. Тула, пл. Крестовоздвиженская, д.2;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1
21;г. Тюмень;г. Тюмень, ул. Мельникайте, д. 54;01.03.2019;7;UTC+5;1;1;0;0;Рассылка;1
22;г. Тюмень;г. Тюмень, ул. Рижская, д.61;01.03.2019;7;UTC+5;1;1;0;0;Рассылка;1
23;г. Химки;г. Химки, пр-т Юбилейный, д.73;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1
24;г. Чебоксары;г. Чебоксары, пр-т Московский, д. 3;01.03.2019;7;UTC+3;1;1;0;0;Рассылка;1
25;г. Хабаровск;г. Хабаровск, ул. Гамарника, д. 22;02.03.2019;8;UTC+10;1;1;0;0;Рассылка;1
26;г. Екатеринбург;г. Екатеринбург, ул. Горького, д. 67/69;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
27;г. Казань;г. Казань, ул. Бутлерова, д. 44;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
28;г. Ставрополь;г. Ставрополь, пр-т Кулакова, д.7;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
29;г. Тула;г. Тула, пл. Крестовоздвиженская, д.2;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
30;г. Чебоксары;г. Чебоксары, пр-т Московский, д. 3;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
31;г. Пермь;г. Пермь, ул. Монастырская, д.4;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
32;г. Волгоград;г. Волгоград, пр-т им. Героев Сталинграда, д.50;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
33;г. Волгоград;г. Волгоград, ул. Коммунистическая, д.40;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
34;г. Волжский;г. Волжский, ул. Мира, д.71;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
35;г. Ижевск;г. Ижевск, ул. Красная, д.105;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
36;г. Воронеж;г. Воронеж, ул. Минская, д.2б;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
37;г. Иркутск;г. Иркутск, ул. Нижняя Набережная , д.10;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
38;г. Иркутск;г. Иркутск, ул. Пискунова, д.122б;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;1
39;г. Красноярск;г. Красноярск, пр-т Свободный, д.46;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
40;г. Краснодар;г. Краснодар, ул. Красноармейская, д.34, к.1;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
41;г. Ульяновск;г. Ульяновск, ул. Гончарова, д.40;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
42;г. Ярославль;г. Ярославль, ул. Советская, д.34;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
43;г. Саратов;г. Саратов, ул. Вавилова, д.1/7;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
44;г. Ставрополь;г. Ставрополь, ул. Ленина, д.361;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
45;г. Самара;г. Самара, ш. Московское, д.15;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
46;г. Омск;г. Омск, ул. Звездова, д.101а;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
47;г. Санкт-Петербург;г. Санкт-Петербург, ул. Красного текстильщика, д.2;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
48;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Невский, д.99/101;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
49;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Шафировский, д.2аб;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
50;г. Тюмень;г. Тюмень, ул. Мельникайте, д. 54;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
51;г. Тюмень;г. Тюмень, ул. Рижская, д.61;01.03.2019;144;UTC+3;1;1;0;0;ОРЭМ;0
52;г. Екатеринбург;г. Екатеринбург, ул. Куйбышева, д.67;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
53;г. Нижний Новгород;г. Нижний Новгород, ул. Академика Сахарова, д.2;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
54;г. Нижний Новгород;г. Нижний Новгород, ул. Керченская , д.18;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
55;г. Нижний Новгород;г. Нижний Новгород, ул. Костина , д.6;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
56;г. Нижний Новгород;г. Нижний Новгород, ул. Октябрьская, д.35а;01.03.2019;7;UTC+3;1;1;0;0;ОРЭМ;0
57;г. Барнаул;г. Барнаул, пр-т Комсомольский, д.106;01.03.2019;7;UTC+4;1;1;0;0;ОРЭМ;0
58;г. Москва;пер. Оружейный, д.41;02.03.2019;7;UTC+3;1;0;0;0;ОРЭМ;0
59;г. Москва;пр-т Кутузовский, д.32, к.Г;03.03.2019;7;UTC+3;1;0;0;0;ОРЭМ;0
60;г. Москва;пр-т Кутузовский, д.32, к.Е;03.03.2019;7;UTC+3;1;0;0;0;ОРЭМ;0
61;г. Барнаул;г. Барнаул, ул. Георгия Исакова, д.270;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
62;г. Белгород;г. Белгород, пр. Гражданский, д.52;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
63;г. Братск;г. Братск, ул. Ленина, д.35;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
64;г. Волгоград;г. Волгоград, ул. 64 Армии, д.44;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
65;г. Воронеж;г. Воронеж, ул. 9 Января, д.28;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
66;г. Воронеж;г. Воронеж, ул. 9 Января, д.302а;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
67;г. Ейск;г. Ейск, ул. Армавирская, д.46;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
68;г. Екатеринбург;г. Екатеринбург, ул. Кислородная, д.8;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
69;г. Иваново;г. Иваново, пр-т Текстильщиков, д.10/16;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
70;г. Йошкар-Ола;г. Йошкар-Ола, ул. Карла Маркса, д.109б;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
71;г. Камень-на-Оби;г. Камень-на-Оби, ул. Ленина, д.72б;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
72;г. Киров;г. Киров, ул. Дерендяева 25;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
73;г. Красноярск;г. Красноярск, ул. Мечникова, д.54, стр. 6;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
74;г. Красноярск;г. Красноярск, ул. Телевизорная, д.1, стр.15;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
75;г. Мурманск;г. Мурманск, пр-т Ленина, д.37;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
76;г. Набережные челны;г. Набережные Челны, пр. им. Раиса Беляева , д.18;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
77;г. Одинцово;г. Одинцово, ул. Молодёжная, д.25;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
78;г. Пенза;г. Пенза, ул. Суворова, д.81;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
79;г. Пермь;г. Пермь, ш. Космонавтов, д.349;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
80;г. Пермь;г. Пермь, б-р Гагарина, д.65а;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
81;г. Пермь;г. Пермь, ул. Сибирская, д.48/1;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
82;г. Пермь;г. Пермь, ул. Куйбышева, д.66/1;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
83;г. Ростов-на-Дону;г. Ростов-на-Дону, пер. Братский, д.41;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
84;г. Самара;г. Самара, ул. Советская, д. /ул. Победы, д.144;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
85;г. Самара;г. Самара, пр-т Ленина, д.17;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
86;г. Самара;г. Самара, ул. Ново-Садовая, д.305;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
87;г. Самара;г. Самара, ул. Самарская, д.207;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
88;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Ветеранов, д.114;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
89;г. Ставрополь;г. Ставрополь, ул. Ленина, д.221;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
90;г. Таганрог;г. Таганрог, ул. Октябрьская, д.39;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
91;г. Химки;г. Химки, пр-т Юбилейный, д.73;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
92;г. Уфа;г. Уфа, ул. Рихарда Зорге, д.5;01.03.2019;7;UTC+3;1;1;0;0;РРЭ;0
93;г. Москва;ул. Маршала Жукова, д.44;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
94;г. Москва;просп. Маршала Жукова, д.11, к.1;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
95;г. Москва;ул. Героев Панфиловцев, д.43;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
96;г. Москва;ш. Пятницкое, д.25, к.1;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
97;г. Москва;ул. Большая Грузинская, д.37;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
98;г. Москва;б-р Славянский, д.3 (Доп.офис №5278/01219);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
99;г. Москва;ш. Можайское, д.4 к.1 (Доп.офис №5278/01685);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
100;г. Москва;просп. Буденного, д.30/8;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
101;г. Москва;ш. Энтузиастов, д.22/18;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
102;г. Москва;ул. Летчика Бабушкина, д.37, к.2;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
103;г. Москва;ул. Академика Королева, д.5 (юр.лица);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
104;г. Москва;ул. Академика Королева, д.5 (физ.лица);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
105;г. Москва;ул. Академика Королева, д.5 (самообсл.);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
106;г. Москва;просп. Мира, д.97, стр.1 (ВСП 1629);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
107;г. Москва;просп. Мира, д.97, стр.1 (ВСП 1115);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
108;г. Москва;ул. Дмитрия Ульянова, д.12, к.1 (Доп. офис №7813/483);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
109;г. Москва;просп. Ленинский, д.93 (Доп. офис №7813/785);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
110;г. Москва;просп. Ленинский, д.34/1;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
111;г. Москва;просп. Ленинский, д.22;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
112;г. Москва;просп. Вернадского, д.11/19;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
113;г. Москва;ул. Профсоюзная, д.32, к.1 (Доп. офис №7813/1017);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
114;г. Москва;ул. Голубинская, д.7, к.2;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
115;г. Москва;ул. Голубинская, д. 24, корп. 1 (Доп. офис №7813/1431);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
116;г. Москва;ул. Тарусская, д.18, к.1 (Доп. офис №7813/1396);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
117;г. Москва;ул. Айвазовского, д.1А (Доп. офис №7813/1442);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
118;г. Москва;просп. Ломоносовский, д.34;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
119;г. Москва;ул. Люблинская, д.175 (Доп. офис №7977/01642);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
120;г. Москва;пр. Путевой, д.40;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
121;г. Москва;ул. 8 марта, д.6;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
122;г. Москва;ул. Садовая-Каретная, д.8, стр.1 Доп. офис №7981/01594);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
123;г. Москва;ул. Онежская, д.12 (Доп. офис №7982/0429);01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
124;г. Москва;ул. Лихоборские бугры, д.8;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
125;г. Москва;просп. Ленинградский, д.74, к.1;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
126;г. Москва;ул. Каховка, д.23а;01.03.2019;144;UTC+3;1;1;0;0;4 категория;0
